AccommodationID,AccommodationName,OwnerIDCardNumber,CityDistrictID,StreetAddress,AccommodationTypeID,NumberOfRooms,Capacity,PricePerNight
ACM000000988,"HomeStreet, Inc.",814133709339,103,952 Bluestem Trail,BG,3,5,543392.0
ACM000000990,On Track Innovations Ltd,962038058723,294,6 Eliot Terrace,CD,1,9,1212593.0
ACM000000991,The AES Corporation,78444695343,632,07016 North Avenue,VL,4,18,1916132.0
ACM000000992,,367005392427,550,2528 Golf Point,PH,1,15,3900111.0
ACM000000993,"Delek US Holdings, Inc.",772170168885,535,41 Springs Avenue,TH,3,8,4789690.0
ACM000000995,,64178108609,518,6348 Barnett Junction,RS,3,8,1928130.0
ACM000000997,The Organics ETF,942243840689,142,0 Graedel Avenue,HS,3,5,3804540.0
ACM000000998,,479280529685,162,2 Johnson Way,DP,3,15,4554518.0
ACM000000999,,949632332937,97,25 Caliangt Parkway,RS,2,11,422054.0
ACM000001000,,998582068334,652,48914 Mosinee Place,TH,5,14,2392512.0
